HahaScaling (Scaling Vectors):
-1.452753 -2.278105 -1.422321
-1.320746 -2.003554 -1.364417
-1.790388 -3.102267 -1.561463
-0.5429771 -1.739551 -2.336322
0.0004331236 -2.352479 -0.5567237
-0.7752242 -3.208466 -0.9807535
-0.3689657 -1.779309 -2.308901
-1.26454 -3.606763 -2.036407
1.127823 -2.800595 -0.06183067
-1.003348 -2.728054 -1.604304
-1.371845 -2.267549 -1.142385
-1.193729 -2.486118 -1.222839
-0.8506877 -2.427641 0.03260206
-1.642841 -1.80025 -1.388567
-0.890983 -2.142009 -0.8591524
-1.166595 -2.03248 -1.251449
-0.4411386 -2.729884 -0.4033111
-1.279234 -2.392808 -0.7722644
-1.212924 -1.980131 0.01259578
-2.089412 -2.323052 -0.2198621
-1.34594 -2.351253 -0.586616
0.3150821 -1.154083 0.5472485
-0.3352393 -2.170146 -1.87604
-1.395701 -2.607122 -0.1864377
0.2400789 -2.241967 -0.2096751
-0.281776 -3.230357 -0.9309399
-1.310624 -1.728946 0.5412039
-1.212664 -1.496653 1.139245
-2.000275 -3.163242 -1.443699
-0.5458016 -2.006296 -1.496815
-0.0406758 -1.485022 -0.5881268
-0.1866714 -2.308995 -1.578289
-0.830904 -3.118401 -1.912913
-1.305065 -2.145074 -1.145647
-0.7027116 -1.985538 -1.524981
-0.3688463 -2.976123 -1.007851
-2.12693 -2.508667 -0.9888399
-2.30055 -1.949988 -2.207911
-1.117179 -3.104787 -0.7939528
-0.8120983 -2.233049 -1.134186
-0.9853107 -2.057547 -0.9559264
-0.8088804 -2.566796 1.260644
-0.9582809 -2.865339 -0.7490457
-1.056474 0.1269974 1.089489
-1.76678 -2.400609 -1.50982
-1.697811 -2.382519 -1.35908
-0.6506111 -1.88012 -0.02364821
-0.9778174 -2.213637 -0.799946
-0.8760176 -1.466504 -0.3320977
-2.253886 -2.729173 -1.995305
-0.9429458 -1.941839 -1.42588
-0.157241 -2.110374 -1.247443
-1.505438 -2.664057 -0.9425048
-1.599102 -2.683567 -1.47426
-1.866781 -3.162898 -1.366151
-0.686801 -3.448697 -1.469497
-2.20165 -3.141427 -2.428213
-1.390507 -1.438124 -2.020809
-0.2477205 -2.251245 -0.2161429
-0.5958482 -1.375392 -1.382415
-0.9963789 -1.752123 -1.77158
-0.02695656 -2.815673 -0.7251219
-0.4307818 -2.892979 -0.8324835
-0.8501477 -1.869004 -1.032951
-0.3730861 -2.198045 -1.317574
-1.386098 -2.13127 -0.9330789
-0.8078366 -0.8126764 0.1908643
-1.423295 -1.652648 -1.633667
-1.898895 -1.69034 -0.6053711
-1.177313 -2.467321 -0.4058891
-0.3903708 -2.295595 -1.12752
-1.363348 -2.277245 -1.026252
-1.430875 -2.680062 -0.05938438
-0.6702181 -1.197506 -0.6931229
-1.031132 -1.346111 -1.305485
-0.2166562 -2.425555 -0.7582171
-1.305112 -2.520709 -1.275113
-0.7926633 -2.313224 -0.57609
-1.250915 -2.337564 -1.257862
-1.694025 -2.772804 -0.8427036
-0.5380754 -2.004297 -1.155798
-1.129967 -1.674661 -1.604808
-1.447947 -1.466241 -1.833702
-1.407212 -1.738729 -1.182117
-1.508795 -2.698985 -0.08791237
-1.054049 -2.361628 -0.4067222
-0.8712019 -1.511092 -1.036653
-1.95425 -1.565174 -0.2123703
-0.2337965 -3.316861 -1.018
-1.159501 -2.044434 -1.730364
-0.07510084 -1.72498 -2.464684
-1.639361 -2.541491 -1.052184
-1.697684 -2.179359 -1.169053
-1.230646 -2.85743 -1.257473
-1.449267 -2.894011 -1.09756
-1.662373 -1.996986 -1.169057
-1.791111 -2.571992 0.2308057
-1.450562 -2.413589 -1.324824
-1.053151 -2.379566 -1.201759
-0.04487185 -1.149369 -0.5983376
-1.624588 -1.865749 -1.042696
-0.7931988 -1.853253 -0.9278168
-1.645998 -2.138672 -1.158037
-1.077184 -2.198637 -0.519861
-1.223384 -2.014904 -1.409453
-0.9675098 -1.957241 -2.147519
-2.130058 -2.834441 -0.6866645
-0.6508497 -3.414378 -0.5883812
-0.9207634 -1.919413 -0.956848
-1.016604 -1.525212 -0.08237918
-0.5646911 -1.21988 -0.3436839
-1.013292 -2.07805 -1.008224
-0.1405593 -2.313756 -0.6414249
-2.375416 -2.332409 -1.307266
-0.4552919 -1.234793 -0.6977135
-1.177462 -2.670326 -1.27324
-1.171316 -1.880835 -1.352983
-0.9454178 -2.206302 -0.882642
-1.377416 -1.833641 -1.545003
-1.315507 -2.531947 -1.295305
-1.415338 -2.449025 -0.8091267
-1.223156 -2.176372 -1.29964
-0.8801137 -2.190632 -0.83607
-1.543351 -1.869652 0.3481774
-1.357107 -2.44274 -1.336137
-1.14811 -2.139931 -1.360788
0.6096909 -2.206762 -0.526565
-1.235071 -2.314767 -1.411625
-1.005743 -2.484901 -0.599791
-1.025158 -2.18855 -1.019949
-1.792507 -1.306751 0.03195288
-1.000928 -1.870596 -0.8580129
-0.5895589 -2.809956 -0.8007956
-1.644315 -2.983055 -0.922724
-1.765426 -1.703593 -0.9116045
-0.4818642 -2.836042 -0.8739748
-1.236899 -3.090145 -2.033618
-1.223124 -2.022441 -1.317643
-0.2481498 -1.915547 -0.07830307
-1.854493 -2.153212 -1.111143
-1.16664 -1.711773 -1.074252
-2.143712 -2.693983 -0.7596969
-2.386217 -2.257244 -0.8924394
-0.9185856 -2.741037 0.3288808
-0.715957 -2.270818 -0.8504553
-0.1481713 -1.573205 -0.7913596
-0.1753691 -2.997525 -1.170704
-1.526252 -2.993519 -1.723381
-1.18851 -0.7958346 -1.463662
-0.6661758 -2.942437 -1.71651
-0.802978 -3.10538 -0.2920191
-1.301212 -2.358048 -1.125255
-0.2477956 -2.952258 -1.106298
-0.8347946 -2.84179 -0.6742627
-1.087504 -2.736278 -0.08726062
