RBuffer (Rotation Quaternions):
0.08582544 0.08461158 0.8573844 -0.5003666
0.8924484 -0.4465509 -0.03175688 -0.05585176
0.7492752 -0.4556592 -0.1265517 -0.4636226
0.08194838 0.1182019 0.8330218 -0.5342167
0.1282095 0.1013772 0.8108252 -0.562003
0.07414948 0.7044519 0.5634897 -0.4251219
0.1643642 0.6998442 0.1689202 -0.674291
0.02576643 0.7066571 0.1103177 0.698428
0.1276886 0.795891 0.1287989 -0.5776365
-0.300593 0.2180856 0.5977134 0.7105077
-0.1657405 0.6879517 0.1040194 0.6988794
0.03986646 0.7039768 0.1556787 -0.691803
0.04646967 0.9961196 0.05272068 -0.05297837
0.7141809 0.1323182 -0.2678593 -0.6329998
-0.04079599 0.7096546 0.7033021 0.009601045
-0.0584766 0.07033761 0.3433769 0.9347327
-0.2183598 -0.07984862 -0.5044473 0.8315504
0.7288247 -0.1335514 -0.05378179 -0.6693922
-0.05931207 -0.642901 0.7287808 -0.2281205
0.7450614 0.001481472 -0.1150551 -0.6569958
0.1525774 0.6254116 0.7638313 -0.04628501
0.7710639 0.00790417 -0.2930341 -0.5652688
-0.2358288 -0.3786698 0.746031 -0.4944002
0.7244034 0.2492497 0.1335816 -0.6287051
0.302161 0.05985555 0.7170913 -0.6252168
-0.59553 -0.3580152 0.3225799 0.6427373
-0.150014 0.7228537 -0.6545532 0.1629056
-0.5990272 0.2285613 -0.3838137 0.6645398
-0.3127712 0.6088566 0.5376159 0.4923789
-0.2931745 0.546631 0.6447014 0.44677
0.1427229 0.7027134 0.5100608 -0.4750388
0.1200995 0.7423846 0.4661249 -0.4660138
-0.3227804 0.5900801 0.5998858 0.4333074
-0.1943044 0.6837198 -0.003480069 0.7033923
-0.3304904 0.6619547 0.4887957 0.4622452
-0.3549768 0.6992637 0.4290439 0.4482665
0.05794281 0.846975 0.4987605 -0.1746817
0.06016161 0.8885441 0.4290123 -0.1510577
0.1177991 0.8805559 0.4377937 -0.1381352
0.1102914 0.7815976 0.4335391 -0.4347237
0.01648251 0.8801184 0.4147272 -0.2304802
-0.3936933 0.693014 0.4416561 0.4119187
0.03825888 0.8887135 0.4187841 -0.1826044
0.08280439 0.8267004 0.4648392 -0.3059972
-0.3494845 0.7440629 0.5431028 0.1710854
-0.3590478 0.7062762 0.5505832 0.2629002
-0.3714012 0.6881607 0.5587597 0.2761948
-0.4290064 0.5084139 -0.4979149 0.5563718
0.2187493 0.6908107 0.6823208 0.09678593
0.1304304 0.629059 -0.5572622 0.5260528
0.7111869 0.6664295 0.07735522 -0.2100023
0.7647405 0.274252 0.4364379 0.3866262
0.2701164 -0.09794141 0.7146459 0.6377505
-0.3966377 0.788395 0.4618843 0.08817499
0.5835952 0.7835139 0.1083853 -0.1837799
-0.03313686 0.7646694 0.2462763 0.5945844
0.190035 0.868259 0.4441851 -0.1127499
-0.2753495 -0.5616955 -0.2487137 0.7394742
0.6084881 0.6496106 0.1781858 -0.4195212
0.5758112 0.6827509 0.1625949 -0.4193514
-0.3042061 0.139299 0.445937 0.8301775
0.5526668 -0.3978523 -0.2284129 0.6957734
-0.3967974 0.6540663 0.5009497 0.4047202
-0.05625466 0.7011479 0.1424465 -0.6963733
0.7280824 0.5286441 0.2357195 -0.3672435
0.7334076 0.5259361 0.3057599 -0.3033403
-0.3894406 0.8979908 0.2006208 0.04122939
0.7537506 0.1170162 -0.1915854 -0.6176264
-0.2940856 -0.5810353 -0.2328724 0.7222756
0.1471647 0.5849882 -0.5817352 0.5456331
-0.4240152 0.5366049 0.5853582 -0.435456
-0.4407816 0.5749954 0.638491 0.2596554
-0.4892005 0.4102709 0.1127875 0.7613407
-0.1937761 0.1206142 0.4174908 0.8795478
-0.06542335 -0.246003 0.8323383 -0.4923567
-0.3604038 0.5665171 0.1334994 0.7289343
-0.08070086 0.1988815 0.7844425 0.5818792
-0.02144251 -0.6927817 0.7196447 0.04129341
-0.5019119 -0.528727 -0.2694824 0.6292148
0.6763489 0.09238087 0.2801486 -0.674933
0.7145788 0.0001829372 -0.1014745 -0.6921561
-0.4687555 0.5049274 0.5796242 -0.4351464
-0.3214919 0.2574404 0.8700433 -0.2709094
-0.4220194 0.894565 -0.1021997 -0.1058691
-0.4847052 -0.4680681 0.6832283 0.2813755
-0.2043736 0.9649472 -0.1260248 -0.1059531
0.535187 -0.2648889 -0.2735504 0.7540417
0.783429 0.0571924 -0.3347862 -0.5204672
-0.07154439 0.6667415 0.5343408 -0.5146037
-0.420709 0.4019561 0.6731133 -0.4564577
-0.2048765 0.2200761 0.2118562 0.9298974
-0.1440786 0.9765879 -0.1301097 -0.09267565
-0.1972715 0.1520864 0.3174264 0.914983
0.6973066 -0.5937703 -0.3421365 -0.2101019
-0.2946402 0.2791491 0.8314162 -0.3794863
0.003465063 0.6965898 0.7155605 -0.05218991
0.1617994 0.5591718 0.5768607 -0.5730441
0.1138843 0.9193307 0.3579131 -0.1173011
-0.312467 0.6342931 -0.2491558 0.6617839
-0.0420043 0.2225957 0.8539244 -0.468508
-0.3516241 0.7330953 0.5820411 0.01264132
-0.272931 0.2988049 0.7948961 -0.4520667
0.5980855 -0.5748722 -0.3114344 -0.4634912
-0.5576161 0.6061712 0.3532745 0.4436417
-0.4963073 0.6481943 0.4396639 0.3744579
0.6083365 -0.5597787 -0.2537383 -0.5021864
-0.4355492 0.6853194 0.5017673 0.2981003
-0.3963903 0.7182206 0.5344304 0.203514
-0.4812341 0.5114152 0.08328454 0.7070587
-0.5098593 0.513846 0.0740498 0.6859462
-0.3619399 0.5947748 0.1053406 0.7100321
-0.288731 0.6526217 0.01972698 0.7002357
-0.455861 0.5264847 0.04042182 0.7164987
-0.4223189 0.5722771 0.004105186 0.7029429
0.7959601 -0.4115854 -0.2703446 -0.3520778
-0.4731793 0.5560763 -0.06053578 0.6805996
-0.2448431 0.6721498 0.05922275 0.6962463
-0.05631889 0.6723025 0.5365455 -0.5069087
-0.4123092 0.5482188 0.06899236 0.7243599
-0.3798523 0.6036946 -0.07361574 0.6970263
-0.2902218 0.6503042 0.0992796 0.6949959
-0.3659179 0.08924917 0.1846917 0.9077597
-0.4524836 0.5611095 -0.03167453 0.6923953
-0.3295828 0.6222566 0.130462 0.6979623
0.09964471 0.1082773 -0.4005569 0.9043788
-0.06122003 0.7296424 -0.1084271 -0.672397
-0.5030543 -0.2187603 -0.2881919 0.7848731
-0.5489313 0.5367164 -0.1760197 0.6161387
0.06987444 0.7827875 0.4067885 -0.4657084
0.7284115 -0.1867172 -0.3507446 -0.5581501
-0.5532095 -0.5544336 -0.2356308 0.5753614
-0.1217646 -0.3216412 0.8187717 -0.4597099
-0.5262612 0.5218719 0.07389733 0.6672615
0.6724598 0.1768423 -0.3109981 -0.6479234
0.6223502 -0.1998538 0.5544586 -0.5150868
0.6909612 0.2708061 0.3259656 -0.5856475
0.02094567 0.0448822 -0.6659832 0.7443206
0.7309504 -0.1390113 0.07993918 -0.6633227
-0.450849 0.4055324 0.4193472 0.6755934
0.5019496 0.7692683 0.2358018 -0.3172858
-0.5608786 0.3832704 -0.4702155 0.5633971
-0.2349435 0.8056755 0.3698519 -0.3986203
-0.474696 0.7992626 0.335931 -0.1516355
-0.3270099 0.6394535 -0.3272911 0.6140392
0.7258025 -0.4539241 0.345741 -0.3842221
-0.6492413 0.2915666 -0.2236411 0.6659274
-0.474366 0.5557583 0.2899268 0.6181036
-0.4481907 0.6251826 -0.26133 0.5830766
-0.4840406 -0.460666 0.6891954 0.2801807
-0.2695521 0.9477062 -0.123297 -0.1182889
0.020128 0.7802665 0.6248056 -0.01992459
-0.5405256 0.7004743 0.4625234 -0.05691937
-0.2677738 0.9456689 0.1673777 -0.07740909
0.2272316 -0.008234528 0.804912 -0.5481009
-0.6159567 0.7411452 0.2048529 0.1712785
0.7595401 -0.3077332 0.3523953 -0.4519033
-0.6939051 0.05057666 0.01240874 0.7181808
-0.6375075 0.3107448 -0.2467264 0.6604149
-0.33582 0.655955 -0.321904 0.594412
0.2434124 0.1820981 0.7566984 -0.5787901
0.6680776 -0.5168583 -0.391823 0.364698
-0.6703473 0.2188687 -0.1489693 0.6932093
0.3121224 -0.5894967 -0.3423302 0.6617274
-0.337591 0.6422617 -0.3246002 0.6067674
-0.08894323 0.1940447 0.8121471 0.5430034
0.6177983 0.7693815 0.0271755 -0.160121
-0.199192 0.6805511 0.084382 0.7000374
0.7730071 -0.4822855 0.1074765 0.3978812
-0.3356969 0.9265323 -0.1217009 -0.1184659
0.1252076 0.6758406 0.7259171 -0.02463549
0.6705606 -0.07485719 0.08973417 0.7325931
-0.05202508 0.9853402 0.1492587 -0.06418519
0.867048 0.1764675 -0.1258158 -0.4486172
0.8028696 0.2716648 -0.1655544 -0.5041729
0.1154771 0.08061893 0.548648 0.8241061
0.9515502 -0.2673147 -0.1372037 -0.06534693
0.4075283 -0.5778104 -0.1418914 0.6927644
-0.2200657 0.6624065 0.6649618 -0.2657336
0.3006303 -0.4652421 -0.58811 0.5893198
0.7862191 0.02946185 -0.2392121 -0.5690071
0.002691217 0.0601401 0.04409934 0.9972116
0.08872945 0.05960542 0.9914317 0.07508305
-0.6714771 -0.04723945 0.1111208 0.7311218
-0.5930369 -0.2319407 0.3020142 0.709435
0.5014153 0.5667233 0.4750134 -0.4491876
-0.1476236 -0.1774164 0.392949 0.8901245
0.1478519 0.7706016 0.2081137 -0.5839534
-0.6531201 -0.003915883 -0.02444829 0.7568493
-0.1917659 -0.2368497 0.2808603 0.9100799
0.01746106 0.757198 0.6508794 0.05198256
0.5268583 0.3710144 0.7245637 0.2444915
0.01497882 0.6946954 0.7179644 -0.04124366
0.4659241 0.5143709 0.58735 -0.4163618
0.6663665 0.01039171 0.722002 -0.185905
-0.1726622 0.355613 0.350087 0.8492151
0.247982 0.8504683 0.460412 -0.05682679
-0.08713022 0.6153278 0.5546203 0.553332
0.357437 0.6736744 0.5529207 0.3356785
0.5893295 0.6020001 0.206778 -0.4975233
0.6255751 0.7692121 -0.02298215 -0.1282202
0.6359287 0.4614084 0.3776568 0.4899717
-0.5293726 -0.3787879 0.4305612 0.625221
0.626937 -0.406814 0.4457833 -0.4926758
0.6506679 -0.312147 0.3386483 -0.603749
-0.6342539 0.09081053 -0.1019016 0.7609806
-0.5588728 0.8014622 0.2084101 -0.04341265
-0.06491324 0.5958744 0.7822058 -0.1699229
-0.6971292 0.1404169 -0.08919003 0.6973802
-0.4964514 0.5348777 0.500223 -0.4660672
0.5782427 0.5564169 0.4931753 -0.3358773
0.6499251 -0.4118285 0.4692055 -0.4334061
0.7410719 -0.007761212 -0.2647104 0.6169931
0.7141536 0.05178192 -0.1947294 0.6703608
-0.2712944 0.609057 0.7020378 -0.2501833
0.7635369 -0.1011033 0.1596777 -0.6174887
0.7180259 0.1907646 -0.2264172 -0.629907
0.3531786 -0.6047233 0.7138038 0.007653924
0.7679964 0.02433135 -0.00979448 -0.6399167
0.08702634 0.6655104 0.7400944 0.04221966
0.6179083 0.4810684 0.4262641 0.452837
0.2493575 0.7270682 0.5935114 0.2386142
